Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2,cluster
107315.0,80,40.64,1,0,3,1,0,1341.4375,0
107400.0,74,7.47,0,2,2,1,0,1451.3514,1
108000.0,64,43.36,1,0,2,0,1,1687.5,2
108000.0,82,38.49,0,3,2,0,0,1317.0732,2
108000.0,60,38.35,0,0,2,1,0,1800.0,1
108000.0,89,39.67,1,1,3,0,0,1213.4831,0
108082.18,65,38.3,1,3,2,1,0,1662.8028,1
108182.0,60,41.55,0,0,2,0,0,1803.0333,2
108182.0,68,39.82,1,1,2,0,0,1590.9118,2
108182.0,74,31.61,1,1,2,0,1,1461.9189,2
108182.0,60,39.72,1,3,2,0,0,1803.0333,2
108182.0,65,40.34,0,3,2,0,0,1664.3385,2
108182.0,72,36.34,0,2,2,1,0,1502.5278,1
108182.0,84,46.96,0,2,2,0,0,1287.881,2
108182.0,71,12.93,0,1,2,1,0,1523.6901,1
108182.17,40,23.09,0,2,2,1,1,2704.5543,3
108182.18,72,41.49,1,3,2,1,0,1502.5303,1
108182.18,78,68.39,0,1,2,0,1,1386.951,2
108182.18,84,31.73,0,1,2,1,1,1287.8831,1
108182.18,79,30.56,1,0,2,1,0,1369.3947,1
108182.18,78,30.36,1,2,2,1,0,1386.951,1
108183.0,64,40.94,0,3,2,1,0,1690.3594,1
108200.0,68,34.85,0,0,2,0,0,1591.1765,2
108250.0,56,51.2,0,3,2,0,1,1933.0357,2
108783.0,79,37.99,0,2,2,0,0,1377.0,2
108900.0,55,9.38,0,0,2,1,1,1980.0,3
109273.0,86,39.45,0,0,2,1,0,1270.6163,1
109384.0,56,40.18,1,3,2,0,0,1953.2857,2
109400.0,61,40.93,1,3,2,0,0,1793.4426,2
109550.76,115,34.63,0,3,3,1,1,952.6153,0
109687.0,69,36.98,1,3,2,0,0,1589.6667,2
109763.0,63,21.75,1,2,2,1,1,1742.2698,1
110000.0,55,41.95,1,0,2,0,0,2000.0,2
110170.0,95,38.05,0,3,2,0,0,1159.6842,2
111000.0,48,42.02,1,3,2,0,0,2312.5,2
111187.24,48,72.17,0,0,2,0,0,2316.4008,2
111187.24,71,38.87,1,2,2,1,0,1566.0175,1
111188.0,74,31.45,0,0,2,1,1,1502.5405,1
111190.0,62,39.07,1,0,2,0,0,1793.3871,2
111788.25,52,40.82,1,2,2,0,0,2149.774,2
112000.0,65,50.59,0,0,2,1,0,1723.0769,1
112389.0,75,32.97,1,0,2,0,1,1498.52,2
112500.0,105,12.72,0,0,2,1,1,1071.4286,1
114192.0,63,32.49,0,0,2,0,1,1812.5714,2
114192.0,66,33.97,0,0,2,1,0,1730.1818,1
114192.3,40,67.21,0,3,2,0,1,2854.8075,2
114192.3,78,32.82,1,2,2,0,1,1464.0038,2
114192.3,79,37.43,1,3,2,1,0,1445.4722,1
114192.3,89,43.59,0,3,2,0,0,1283.0596,2
114200.0,80,39.45,1,3,2,1,0,1427.5,1
114200.0,62,51.17,0,3,2,1,1,1841.9355,1
114242.9,58,36.26,0,2,2,1,0,1969.7052,1
114670.0,185,53.0,0,2,3,0,1,619.8378,0
115000.0,52,43.59,1,3,2,1,1,2211.5385,1
115530.0,105,37.9,1,3,3,1,0,1100.2857,0
117197.0,52,33.45,0,3,2,1,0,2253.7885,1
117197.0,59,35.05,1,0,2,0,0,1986.3898,2
117197.36,60,35.57,0,3,2,1,0,1953.2893,1
117197.36,66,43.93,1,0,2,0,0,1775.7176,2
118000.0,125,43.87,1,1,2,0,0,944.0,2
118399.38,79,29.96,1,2,2,1,1,1498.7263,1
118400.0,86,36.61,0,3,3,1,0,1376.7442,0
118700.0,89,66.74,0,3,2,1,1,1333.7079,1
119400.0,72,35.48,0,3,2,1,0,1658.3333,1
119600.0,69,44.39,0,3,2,0,0,1733.3333,2
119602.0,56,39.43,1,0,2,0,0,2135.75,2
120000.0,72,31.87,1,0,2,1,0,1666.6667,1
120000.0,48,41.03,1,0,2,0,0,2500.0,2
120000.0,75,25.68,0,2,2,1,0,1600.0,1
120000.0,95,61.21,0,1,2,0,0,1263.1579,2
120000.0,95,62.13,0,1,2,0,0,1263.1579,2
120000.0,65,33.93,0,3,2,1,0,1846.1538,1
120000.0,83,28.91,1,2,2,1,0,1445.7831,1
120000.0,79,38.74,1,2,2,1,0,1518.9873,1
120000.0,83,38.26,1,1,2,0,0,1445.7831,2
120000.0,89,66.71,0,0,3,0,1,1348.3146,0
120092.41,91,25.93,0,0,2,1,1,1319.6968,1
120200.0,78,34.48,1,3,2,1,0,1541.0256,1
120201.0,71,24.42,1,2,2,1,1,1692.9718,1
120202.0,64,14.07,0,0,2,1,0,1878.1562,1
120202.0,84,28.81,1,2,2,1,1,1430.9762,1
120202.0,80,28.08,0,0,2,1,0,1502.525,1
120202.0,65,33.51,0,3,2,1,0,1849.2615,1
120202.0,72,36.72,0,3,2,1,0,1669.4722,1
120202.0,65,39.82,0,3,2,1,0,1849.2615,1
120202.01,64,25.43,1,2,2,1,1,1878.1564,1
120202.42,52,42.51,1,0,2,0,0,2311.585,2
120202.42,70,33.97,1,1,2,1,0,1717.1774,1
120202.42,95,62.13,0,1,2,0,0,1265.2886,2
120202.42,71,35.55,1,3,2,1,0,1692.9918,1
120202.42,95,5.8,0,0,2,1,1,1265.2886,3
